K-fold,MAE,MSE,RMSE,R²
0,12530248.433442086,876154037659435.2,29599899.284616414,0.8019139645844074
1,11493941.710667068,629597632135054.2,25091784.156074956,0.6431751532802057
2,15074658.213709434,1039729915634771.5,32244843.240970664,0.7484665167106626
3,13793093.174504207,660390837453084.8,25698070.695153065,0.832692590800529
4,12978473.666541466,677992283572064.4,26038284.958346706,0.8519733883324963
